DisplayName,ConnectionType,SortOrder,IsActive,ElementType
Activator,,1,Yes,
Activator Custom Action,,2,Yes,
Activator Email,,3,Yes,
Admin Insights,,4,Yes,
Analysis Services,,5,Yes,Endpoint
AriaConnector,,6,Yes,
Azure AI Search,,7,Yes,
Azure Application Insights,,8,Yes,
Azure Artifact Feed (Preview),,9,Yes,
Azure Batch,,10,Yes,
Azure Blob Storage,,11,Yes,Endpoint
Azure Cosmos DB For MongoDB,,12,Yes,
Azure Cosmos DB for MongoDB vCore,,13,Yes,
Azure Cosmos DB v1,,14,Yes,
Azure Cosmos DB v2,,15,Yes,
Azure Cost Management,,16,Yes,
Azure Data Explorer (Kusto),,17,Yes,
Azure Data Factory,,18,Yes,
Azure Data Lake Analytics,,19,Yes,
Azure Data Lake Storage Gen1,,20,Yes,
Azure Data Lake Storage Gen1 for Cosmos Structured Stream,,21,Yes,
Azure Data Lake Storage Gen2,,22,Yes,Endpoint
Azure Data Lake Storage Gen2 for Cosmos Structured Stream,,23,Yes,
Azure Database for MySQL,,24,Yes,
Azure Database for PostgreSQL,,25,Yes,
Azure Databricks,,26,Yes,Endpoint
Azure Databricks workspace,,27,Yes,
Azure Device Registry (ADR),,28,Yes,
Azure DevOps (Boards only),,29,Yes,
Azure DevOps - Source control,,30,Yes,Endpoint
Azure Files,,31,Yes,
Azure Foundry,,32,Yes,
Azure Function,,33,Yes,
Azure HDInsight Cluster,,34,Yes,
Azure HDInsight On Demand Cluster,,35,Yes,
Azure HDInsight Spark,,36,Yes,
Azure HorizonDB Database,,37,Yes,
Azure Keyvault Service,,38,Yes,
Azure Machine Learning,,39,Yes,
Azure Monitor Mirrored Catalog,,40,Yes,
Azure Resource Graph,,41,Yes,
Azure Service Bus,,42,Yes,
Azure SQL Managed Instance,,43,Yes,
Azure Synapse Analytics workspace,,44,Yes,
Azure Synapse Workspace,,45,Yes,
Azure Table Storage,,46,Yes,
Bloomberg Data and Analytics v2.0.12,,47,Yes,
Capacity Metrics,,48,Yes,
Common Data Service (Legacy),,49,Yes,
Connect to Viva Insights Data,,50,Yes,
Copy job,,51,Yes,Workspace
Custom stream connector,,52,Yes,
Custom stream source,,53,Yes,
Databricks,,54,Yes,
Dataflows,,55,Yes,Workspace
Datamarts,,56,Yes,
Dataverse,,57,Yes,Endpoint
Dremio Cloud,,58,Yes,
Dremio Iceberg Catalog,,59,Yes,
Dremio Software,,60,Yes,
Dynamics 365,,61,Yes,
Dynamics 365 Business Central,,62,Yes,
Dynamics 365 Business Central (on-premises),,63,Yes,
Dynamics 365 Customer Insights,,64,Yes,
Dynamics AX,,65,Yes,
Dynamics CRM,,66,Yes,
Dynamics NAV,,67,Yes,
ElasticSearch,,68,Yes,
EventHub,,69,Yes,
EventStream,,70,Yes,
Exchange,,71,Yes,
Fabric Airflow,,72,Yes,
Fabric Data Pipelines,,73,Yes,Workspace
Fabric Eventhouse,,74,Yes,
Fabric Graph Model,,75,Yes,
Fabric SQL Analytics endpoint,,76,Yes,
FabricMaterializedLakeView,,77,Yes,
FabricSqlEndpointMetadata,,78,Yes,
FTP,,79,Yes,
GitHub,,80,Yes,
GitHub - Source control,,81,Yes,Endpoint
GitHub Copilot Models,,82,Yes,
Goals,,83,Yes,
Hdfs for Pipeline,,84,Yes,
Http,,85,Yes,Endpoint
IBM Netezza,,86,Yes,
Impala,,87,Yes,
Import data from Azure Enterprise,,88,Yes,
Intune Data Warehouse V2,,89,Yes,
IoTHub,,90,Yes,
Jira,,91,Yes,
Kafka Cluster,,92,Yes,
KaizalaAttendanceReports,,93,Yes,
KaizalaReports,,94,Yes,
KaizalaSurveyReports,,95,Yes,
Kinesis,,96,Yes,
KQL Database,,97,Yes,
KX kdb Insights Enterprise,,98,Yes,
Lakehouse,,99,Yes,Workspace
LinkedIn Sales Navigator,,100,Yes,
LinkedInLearning,,101,Yes,
MariaDB for Pipeline,,102,Yes,
Microsoft Access,,103,Yes,
Microsoft Azure Data Manager for Energy Search,,104,Yes,
Microsoft Planetary Computer,,105,Yes,
Microsoft Sentinel,,106,Yes,
Microsoft365,,107,Yes,
MicrosoftCallQuality,,108,Yes,
MicrosoftTeams,,109,Yes,
MongoDB,,110,Yes,
MongoDB Atlas,,111,Yes,
MySQL,,112,Yes,Endpoint
Navigational data,,113,Yes,
Notebook,,114,Yes,Workspace
OData,,115,Yes,Endpoint
Office 365 Email,,116,Yes,
Office365Mon2,,117,Yes,
OneLake Files,,118,Yes,
Oracle,,119,Yes,
Oracle Cloud Storage,,120,Yes,
Oracle Fusion (BICC),,121,Yes,
PostgreSQL,,122,Yes,Endpoint
Power BI dataflows (Legacy),,123,Yes,
Power BI Semantic Model,,124,Yes,
Presto,,125,Yes,
ProductInsights,,126,Yes,
Real-Time Events,,127,Yes,
REST,,128,Yes,Endpoint
SAP Business Data Cloud,,129,Yes,
SAP BW Open Hub Application Server,,130,Yes,
SAP BW Open Hub Message Server,,131,Yes,
SAP Datasphere outbound for ADLS Gen2,,132,Yes,
SAP Table Application Server,,133,Yes,
SAP Table Message Server,,134,Yes,
Scope Job Definition,,135,Yes,
Sentinel (Catalog),,136,Yes,
ServiceNow,,137,Yes,
SFTP,,138,Yes,
SharePoint,,139,Yes,Endpoint
Snowflake,,140,Yes,Endpoint
Spark,,141,Yes,
Spark Job Definition,,142,Yes,Workspace
SparkPost,,143,Yes,
SQL database in Fabric,,144,Yes,Workspace
UsageMetricsCES,,145,Yes,
UsageMetricsDataConnector,,146,Yes,
User Data Functions,,147,Yes,Workspace
Vertica,,148,Yes,
Web,,149,Yes,Endpoint
Web v2,,150,Yes,Endpoint
